customer_id,customer_name,segment,country,city,state,postal_code,region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East
TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central
